"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1764,"Steve BENSON ",47,65,28,19,2013-05-20,"Caribbean Cup 2013","United States"
1765,"Mihalis FILINIS ",47,47,47,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Greece"
1766,"Konstantinos NADIOTIS ",47,47,47,0,2012-10-14,"AIDA CYPRUS Depth Games 2012","Cyprus"
1767,"Thomas OBERHUBER ",47,47,47,0,2015-07-11,"Cool Down 2015 - Austrian Championship","Austria"
1768,"Emily SHAW ",47,47,47,0,2015-08-27,"Australian Depth National Championship","Australia"
1769,"Chao WU ",47,50,44,3,2014-09-05,"Freedive Panglao Staff Comp","China"
1770,"Matthias THIELE ",47,47,47,0,2014-11-18,"Freediving World Competition","Germany"
1771,"Monika ZAWISTOWSKA ",47,47,47,0,2014-06-15,"7th AIDA Mediterranean World Cup","Poland"
1772,"Mindaugas KREIVENAS ",47,47,47,0,2012-11-11,"2012 Pressure Seekers","International"
1773,"Sachiko Fukumoto ",47,47,47,0,2016-04-22,"Vertical Blue 2016","Japan"
1774,"Okamoto KOSUKE ",47,51,46,1,2016-04-22,"Vertical Blue 2016","International"
1775,"Piotr Ławrynowicz ",47,47,47,0,2015-08-19,"Zawody Krystalicznej Wody","Poland"
1776,"Yiorgos Mitropoulos ",47,47,47,0,2008-09-28,"AIDA Hellas Depth Event 2008","Greece"
1777,"Isabela Sanchez Aran ",46,46,46,0,2016-10-02,"Infinity Depth Games II","Spain"
1778,"Igor LIBERTI ",46,0,46,0,2002-08-31,"Swiss Summer Championship 2002","Switzerland"
1779,"Iru BALIC ",46,52,39,7,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1780,"Iru BALIC ",46,55,36,10,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1781,"Iru BALIC ",46,52,39,7,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1782,"Iru BALIC ",46,55,36,10,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1783,"Iru BALIC ",46,52,39,7,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1784,"Iru BALIC ",46,55,36,10,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1785,"Jarmila SLOVENCÍKOVÁ ",46,46,46,0,2007-10-21,"Triple Depth","Czech Republic"
1786,"Annelie POMPE ",46,46,46,0,2005-11-05,"Triple Depth - Freedive Dahab","Sweden"
1787,"Vedrana VIDOVIC ",46,46,46,0,2007-10-07,"Summer Apnea Games 2007 - In Memory of Dimitris Vassilakis","Croatia"
1788,"Takanori KUMAZAWA ",46,46,46,0,2010-10-11,"11th Manazuru Freediving Classic","Japan"
1789,"Alexandros CHADIARIS ",46,46,46,0,2006-09-09,"AIDA Hellas 2006 Summer Apnea Games","Greece"
1790,"Sergio Martinez ALVAREZ ",46,65,26,20,2012-06-06,"5th Mediterranean World Cup","Germany"
1791,"Sergio Martinez ALVAREZ ",46,65,26,20,2012-06-06,"5th Mediterranean World Cup","Germany"
1792,"Yuki MUTO ",46,46,46,0,2015-04-27,"Suunto Vertical Blue 2015","Japan"
1793,"Irina Veverka ",46,46,46,0,2011-06-23,"Triple Depth 2011","(""(Karina)"", ""(Russian Federation)"""
1794,"Hikori HORI ",46,46,46,0,2008-10-12,"10th Manazuru Freediving Classic","Japan"
1795,"Toru TAKENOUCHI ",46,46,46,0,2015-09-11,"2015 AIDA Depth World Championships","Japan"
1796,"Valery CHUFAROV ",46,46,46,0,2013-04-25,"Russian National Open","Russian Federation"
1797,"Mitsuhiro KOJIMA ",46,46,46,0,2014-05-25,"Caribbean Cup 2014","Japan"
1798,"Mitsuhiro KOJIMA ",46,53,38,8,2015-05-23,"Caribbean Cup 2015","Japan"
1799,"Mihalis FILINIS ",46,46,46,0,2013-10-21,"Triple Depth","Greece"
1800,"Konstantinos NADIOTIS ",46,46,46,0,2014-10-05,"DEPTH GAMES 2014","Cyprus"
1801,"Deisy MARQUEZ ",46,46,46,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1802,"Deisy MARQUEZ ",46,46,46,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1803,"Deisy MARQUEZ ",46,46,46,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
1804,"Adam STERN ",46,86,5,41,2015-06-06,"NIRVANA OCEANQUEST","Australia"
1805,"Lei ZHAO ",46,46,46,0,2015-04-18,"Freedive Panglao Staff Competition","China"
1806,"liang CHEN ",46,46,46,0,2014-09-11,"Freedive Panglao Depth Challenge","China"
1807,"Markus HOPPE ",46,46,46,0,2015-08-15,"Swiss Championship 2015 Lake of Zurich","Germany"
1808,"Jeff GRACE ",46,46,46,0,2015-08-21,"Freedive Paradise 2015","United States"
1809,"ahmed KHOORI ",46,46,46,0,2012-05-30,"FDD LAST CHANCE WC QUALIFYING COMP  (sta+dyn+cwt)","United Arab Emirates"
1810,"Lyubomir STEFANOV ",46,46,46,0,2012-09-30,"Little blue hole competition too","Bulgaria"
1811,"Edgardo ANDRADE ",46,46,46,0,2014-05-25,"Caribbean Cup 2014","Honduras"
1812,"Luke Maillis ",46,46,46,0,2016-04-22,"Vertical Blue 2016","Bahamas"
1813,"Georgina MILLER ",46,46,46,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
1814,"Vadim KUZMIN ",46,46,46,0,2016-05-18,"Russian Open National Championship","Russian Federation"
1815,"Vadim KUZMIN ",46,46,46,0,2016-05-18,"Russian Open National Championship","Russian Federation"
1816,"Xiaoman YANG ",45,45,45,0,2016-04-30,"Freedive Panglao Depth Challenge","China"
1817,"Naoto YOSHIKAWA ",45,45,45,0,2016-05-25,"Freedive Panglao May Minicompetition","Japan"
1818,"Gemma COOKSON ",45,45,45,0,2016-03-18,"Fluid Freediving New Zealand Depth Nations 2016","New Zealand"
1819,"IAN ALMASI ",45,45,45,0,2016-05-09,"Deja Blue 7","United States"
1820,"Shuichi  Goto ",45,58,32,45,2016-07-23,"Okinawa Freediving Cup 2016","Japan"
1821,"Helena Beninger ",45,45,45,0,2016-11-02,"Blue Element 2016","Austria"
1822,"Pavlos Kourtellas ",45,45,45,0,2016-10-23,"AIDA CYPRUS depth games 2016.","Cyprus"
1823,"Alejandro  Lemus ",45,78,11,33,2016-05-26,"Caribbean Cup 2016","Mexico"
1824,"Ka Wing NG ",45,45,45,0,2016-11-03,"Red C cup","Hong Kong"
1825,"María Belén  de la Vega ",45,45,45,0,2016-06-04,"Nirvana Oceanquest Competition","Argentina"
1826,"Michel Filinis ",45,45,0,0,2016-07-11,"July Kalamata Qualifier Competition","Brazil"
1827,"Kristian MÄKI-JUSSILA ",45,45,45,0,2014-07-27,"Asikkala Depth Challenge 2014","Finland"
1828,"Tomoko YAMANOUCHI ",45,45,45,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
1829,"Ute GESSMANN ",45,45,45,0,2005-11-05,"Triple Depth - Freedive Dahab","Germany"
1830,"Kousuke OKAMOTO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1831,"Kousuke OKAMOTO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1832,"Kousuke OKAMOTO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1833,"Kousuke OKAMOTO ",45,45,45,0,2013-11-09,"Vertical Blue 2013","Japan"
1834,"Klara HANSSON ",45,45,45,0,2006-08-19,"Nordic Deep 2006","Sweden"
1835,"Zisis MADEMLIS ",45,45,45,0,2010-09-26,"Hellenic Freediving Championships 2010","Greece"
1836,"Misuzu HIRAI ",45,45,45,0,2007-08-04,"Deep Water Cup Okinawa 2007","Japan"
1837,"Bettina WOLFER ",45,45,45,0,2008-08-16,"Summer Swiss Championship 2008","Switzerland"
1838,"Vedrana VIDOVIC ",45,45,45,0,2009-07-03,"Rab Dive Off 2009","Croatia"
1839,"Macarena BENITEZ ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1840,"Macarena BENITEZ ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1841,"Macarena BENITEZ ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1842,"Elisabeth Sveen KRISTOFFERSEN ",45,45,45,0,2006-08-19,"Nordic Deep 2006","Norway"
1843,"Robert HORVÁTH ",45,45,45,0,2008-07-12,"AIDA Freediving RAB OFF","Hungary"
1844,"Helano LIRA ",45,45,44,1,2006-09-09,"1st National Deep Apnea","Brazil"
1845,"Chris MARSHALL ",45,45,45,0,2008-03-09,"Apnea@Altitude 08","New Zealand"
1846,"Chris MARSHALL ",45,50,40,5,2013-11-30,"Greg Holland Jewellery Diamond Deep 2013","New Zealand"
1847,"Dagmar ANDRES-BRÜMMER ",45,45,45,0,2015-08-15,"Swiss Championship 2015 Lake of Zurich","Germany"
1848,"Georgina MILLER ",45,45,45,0,2015-04-27,"Suunto Vertical Blue 2015","United Kingdom"
1849,"Archimedes GARRIDO ",45,45,45,0,2009-08-25,"Bonaire Challenge 2009","Brazil"
1850,"Archimedes GARRIDO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
1851,"Archimedes GARRIDO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
1852,"Archimedes GARRIDO ",45,45,45,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
1853,"David SIMS ",45,45,45,0,2008-04-21,"Liquification 2008","United States"
1854,"Javan ROBERTS ",45,45,45,0,2007-04-29,"CAFA & USAA cosponsored national with guests","United Kingdom"
1855,"Seamus MURRAY ",45,45,45,0,2007-10-21,"Triple Depth","Australia"
1856,"Richard WONKA ",45,45,45,0,2008-06-10,"Triple Depth 2008","Germany"
1857,"Irina Veverka ",45,45,45,0,2010-09-26,"Triple Depth 2010","(""(Karina)"", ""(Russian Federation)"""
1858,"Nataša STIPANOV ",45,45,45,0,2009-07-03,"Rab Dive Off 2009","Croatia"
1859,"Michael Alexander CRESSWELL ",45,45,45,0,2008-08-10,"Deepwater Okinawa Cup 2008","United Kingdom"
1860,"Adel Abu HALIQA ",45,45,45,0,2010-06-14,"3rd Mediterranean Freediving Meeting","United Arab Emirates"
1861,"Toru TAKENOUCHI ",45,45,45,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Japan"
1862,"Itay HENIGSBERG ",45,45,45,0,2009-09-06,"Triple Depth 2009","Israel"
1863,"Karol SZARO ",45,0,45,0,2010-08-01,"VII Polish Freediving Championship 2010","Poland"
1864,"Tom WHITTALL ",45,45,45,0,2008-02-08,"Andaman AIDA Freediving Challenge 2008","United Kingdom"
1865,"Arkadiusz SKOBEL ",45,45,44,1,2014-08-02,"IX Indywidualne Mistrzostwa Polski","Poland"
1866,"Valeriy TSYKUNENKO ",45,45,45,0,2013-04-25,"Russian National Open","Russian Federation"
1867,"Kristian SKELMOSE ",45,45,45,0,2010-09-26,"Triple Depth 2010","Denmark"
1868,"Rune FLYVHOLM ",45,45,45,0,2010-09-26,"Triple Depth 2010","Denmark"
1869,"Alexandros SARASITIS ",45,45,45,0,2013-09-07,"AIDA Hellas SUMMER APNEA GAMES 2013","Greece"
1870,"Michael BALDWIN ",45,45,45,0,2011-02-10,"Andaman AIDA Freediving Challenge 2011","Australia"
1871,"Drutten NYGREN ",45,45,45,0,2011-02-10,"Andaman AIDA Freediving Challenge 2011","Sweden"
1872,"Beatrice BOZON ",45,45,45,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
1873,"Sokolov DENIS ",45,45,45,0,2011-06-23,"Triple Depth 2011","Russian Federation"
1874,"Simon BENNETT ",45,45,45,0,2011-04-17,"Vertical Blue 2011","Chile"
1875,"Conny FRIESENDORF ",45,45,45,0,2013-09-09,"2013 Kalamata Open","Germany"
1876,"Fanny EHRENBERG ",45,45,45,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Sweden"
1877,"Jennifer BALFOUR ",45,45,45,0,2014-05-11,"Deja Blue V","Canada"
1878,"Torsten WERNER ",45,45,45,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Germany"
1879,"Leif CORNELISSEN ",45,45,45,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Germany"
1880,"Pavlos KOURTELLAS ",45,45,45,0,2011-10-16,"AIDA Cyprus Depth Games 2011","Cyprus"
1881,"Robert BOWEN ",45,52,45,0,2011-11-11,"Freedive Paradise","United States"
1882,"Thomas REINER ",45,45,45,0,2011-11-26,"FREEDIVEDAHAB NOVEMBER MINICOMP","Austria"
1883,"Mitsuhiro KOJIMA ",45,53,36,9,2015-05-23,"Caribbean Cup 2015","Japan"
1884,"Yoshiaki SUZUKI ",45,45,45,0,2013-11-09,"Vertical Blue 2013","Japan"
1885,"Richard BEVAW ",45,45,45,0,2012-05-30,"FDD LAST CHANCE WC QUALIFYING COMP  (sta+dyn+cwt)","United Kingdom"
1886,"Katerina SURANSKA ",45,45,45,0,2015-07-11,"Cool Down 2015 - Austrian Championship","Czech Republic"
1887,"Soren PEDERSEN ",45,45,45,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
1888,"Thomas Winding  VESSELHOLT ",45,55,34,11,2012-08-09,"Danish Depth Championship 2012","Denmark"
1889,"Aurelie COTTIER ",45,45,45,0,2012-10-20,"TRIPLE DEPTH 2012","France"
1890,"Antony AGRANIER ",45,45,45,0,2014-06-12,"Nice Abyss Contest 2014","France"
1891,"CLAIRE PARIS ",45,45,45,0,2013-10-05,"Deja Blue IV","United States"
1892,"RICARDO PARIS ",45,45,45,0,2013-10-05,"Deja Blue IV","United States"
1893,"Matthias THIELE ",45,45,45,0,2014-11-18,"Freediving World Competition","Germany"
1894,"Monika ZAWISTOWSKA ",45,45,45,0,2014-08-02,"IX Indywidualne Mistrzostwa Polski","Poland"
1895,"Jorge PALACIO ",45,45,45,0,2014-05-25,"Caribbean Cup 2014","Colombia"
1896,"Panagiotis  PAPAS ",45,45,45,0,2014-07-13,"1st Rookie Individual Depth Challenge","Greece"
1897,"Thomas GILMORE ",45,45,45,0,2015-05-11,"Deja Blue VI","United States"
1898,"Marion CHAVANNE ",45,45,45,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","France"
1899,"Markus JERGER ",45,45,45,0,2015-08-27,"Australian Depth National Championship","Germany"
1900,"Ivan SUHRAKOV ",45,45,45,0,2015-09-11,"2015 AIDA Depth World Championships","Israel"
1901,"Mario ALBUQUERQUE ",45,45,45,0,2008-06-10,"Triple Depth 2008","Portugal"
1902,"Yulia MARYEVICH ",45,45,45,0,2010-05-21,"Freedive Dahab Mini Comp 2010","Latvia"
1903,"Myoungho NOH ",45,45,45,0,2012-03-31,"Blood Red Philippine Depth Challenge","Korea, Republic of"
1904,"sophia VAN COLLER ",45,45,45,0,2013-04-22,"Blue Hole Festival Competition","South Africa"
1905,"Sebastian ALAMOSO ",45,45,45,0,2013-05-20,"Caribbean Cup 2013","Chile"
1906,"Humberto SCANIO ",45,45,45,0,2014-05-11,"Deja Blue V","Chile"
1907,"Han Eol JUNG ",45,45,45,0,2014-09-11,"Freedive Panglao Depth Challenge","Korea, Republic of"
1908,"Oliver NG ",45,45,45,0,2015-05-02,"Freedive Panglao Depth Challenge 2015","Hong Kong"
1909,"Carmelo Franco NAVARRO ",45,45,45,0,2015-05-23,"S.E.A. Freediving Challenge","Philippines"
1910,"Diego SAAVEDRA ",45,45,45,0,2015-05-23,"Caribbean Cup 2015","Chile"
1911,"Sebastian ALAMOSO ",45,45,45,0,2015-05-23,"Caribbean Cup 2015","Chile"
1912,"Walter CHIVESCU ",45,45,45,0,2015-08-16,"Cartoon Freedivers minicomp","Romania"
1913,"Monika ZAWISTOWSKA ",45,45,45,0,2015-08-23,"2015 AIDA EuroCup","Poland"
1914,"Gemma COOKSON ",45,45,45,0,2016-03-18,"Fluid Freediving New Zealand Depth Nations 2016","New Zealand"
1915,"Okamoto KOSUKE ",45,45,45,0,2016-04-22,"Vertical Blue 2016","International"
1916,"Naoto YOSHIKAWA ",45,45,45,0,2016-05-25,"Freedive Panglao May Minicompetition","Japan"
1917,"Adriana Buechner de Freitas Brandao ",45,45,45,0,2014-05-11,"Deja Blue V","Brazil"
1918,"Adriana Buechner de Freitas Brandao ",45,45,45,0,2015-05-11,"Deja Blue VI","Brazil"
1919,"Trista FONTANA ",44,44,44,0,2016-11-13,"Australian Depth National Freediving Championship 2016","Australia"
1920,"Daniel Hurst ",44,44,44,0,2016-11-13,"Australian Depth National Freediving Championship 2016","Australia"
1921,"Brigitte BANEGAS ",44,48,39,5,2011-06-23,"Triple Depth 2011","France"
1922,"Ulrich WULFF ",44,56,31,13,2006-08-19,"Nordic Deep 2006","Germany"
1923,"Olga SURYKOVA ",44,46,41,3,2013-04-25,"Russian National Open","Russian Federation"
1924,"Bettina WOLFER ",44,45,42,2,2009-07-25,"Swiss Depth Championship 2009","Switzerland"
1925,"Katsumi KANEDA ",44,44,44,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
1926,"Carson BILSLAND ",44,52,35,9,2005-10-14,"Entre Dos Mares 2005","United Kingdom"
1927,"Aristidis EFSTATHIOU ",44,47,40,4,2011-09-15,"AIDA Individual Depth World Championship 2011","Germany"
1928,"Idomeneas GEORGIAKAKIS ",44,44,44,0,2010-09-05,"Sougia depth competition","Greece"
1929,"Mike WELLS ",44,53,34,10,2009-05-30,"Freedive Dahab Mini Comp 2009","Australia"
1930,"Michal MROZOWSKI ",44,44,44,0,2009-07-27,"Crystal Clear Water Competition 2009","Poland"
1931,"Julia MOUCE ",44,60,27,17,2010-09-26,"Triple Depth 2010","Argentina"
1932,"Alexandros SARASITIS ",44,50,37,7,2011-09-11,"AIDA Hellas Summer Apnea Games 2011","Greece"
1933,"Andrew IVES ",44,44,44,0,2010-07-25,"Double Dip Down Under","Australia"
1934,"Emilia BIALA ",44,44,44,0,2011-07-10,"Swiss Championship lake","Poland"
1935,"Simon BENNETT ",44,56,31,13,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1936,"Simon BENNETT ",44,56,31,13,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1937,"Simon BENNETT ",44,56,31,13,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1938,"Trond MOLDAL ",44,44,44,0,2013-10-30,"One Breath Jamboree","Norway"
1939,"Claudia LUKASCHEK-ROLLERO ",44,44,44,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Switzerland"
1940,"Dor YEFET ",44,44,44,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Israel"
1941,"JOHN HULLVERSON ",44,44,44,0,2013-10-05,"Deja Blue IV","United States"
1942,"Pepe SALCEDO ",44,50,37,7,2014-05-25,"Caribbean Cup 2014","Mexico"
1943,"Jessica LAWSON ",44,47,40,4,2015-08-27,"Australian Depth National Championship","Australia"
1944,"Tomas Jonsson ",44,44,44,0,2014-08-08,"Swedish championship in depth","Sweden"
1945,"Emmelie Alm ",44,44,44,0,2014-11-27,"Little Blue Hole Competition","Sweden"
1946,"Kagumi KIMURA ",43,43,43,0,2016-09-22,"Freedive Panglao September Minicomp","Japan"
1947,"JiSu LEE ",43,43,43,0,2016-04-30,"Freedive Panglao Depth Challenge","Korea, Republic of"
1948,"Sun Young KIM ",43,43,0,0,2015-06-07,"9th Mediterranean World Cup","Korea, Republic of"
1949,"María Belén  de la Vega ",43,43,43,0,2016-06-04,"Nirvana Oceanquest Competition","Argentina"
1950,"Christian MALDAMÉ ",43,46,43,0,2003-09-06,"AIDA Switzerland Apnea Grand Prix 2003","France"
1951,"Kousuke OKAMOTO ",43,43,43,0,2007-08-04,"Deep Water Cup Okinawa 2007","Japan"
1952,"Peter BOIVIE ",43,55,30,13,2010-08-14,"Nordic Deep 2010","Sweden"
1953,"Timothy MONEY ",43,50,35,8,2010-06-14,"3rd Mediterranean Freediving Meeting","United Kingdom"
1954,"Julie RUSSELL ",43,43,43,0,2007-04-29,"CAFA & USAA cosponsored national with guests","United States"
1955,"Georgina MILLER ",43,43,43,0,2014-08-25,"2014 AIDA EuroCup","United Kingdom"
1956,"David TRANFIELD ",43,43,43,0,2007-10-21,"Triple Depth","United Kingdom"
1957,"Mafalda OLIVEIRA ",43,50,35,8,2012-09-28,"little blue hole competition","Portugal"
1958,"Filip JAKUBIAK ",43,0,43,0,2010-08-01,"VII Polish Freediving Championship 2010","Poland"
1959,"Takahiro MISE ",43,43,43,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Japan"
1960,"Ken KIRIYAMA ",43,52,33,10,2010-02-11,"Andaman AIDA Freediving Challenge 2010","Denmark"
1961,"Christopher FRIEDRICH ",43,43,43,0,2011-11-26,"FREEDIVEDAHAB NOVEMBER MINICOMP","Austria"
1962,"Arkadiusz SKOBEL ",43,43,43,0,2011-07-30,"Crystal Clear Water Competition 2011","Poland"
1963,"Arkadiusz SKOBEL ",43,0,43,0,2011-07-30,"Crystal Clear Water Competition 2011","Poland"
1964,"Arkadiusz SKOBEL ",43,0,43,0,2011-07-30,"Crystal Clear Water Competition 2011","Poland"
1965,"Arkadiusz SKOBEL ",43,0,43,0,2011-07-30,"Crystal Clear Water Competition 2011","Poland"
1966,"Arkadiusz SKOBEL ",43,0,43,0,2011-07-30,"Crystal Clear Water Competition 2011","Poland"
1967,"Veera LOPEZ-LEHTO ",43,43,43,0,2011-07-24,"Asikkala Depth Challenge 2011","Finland"
1968,"Gregoire FOLLY ",43,43,43,0,2011-02-10,"Andaman AIDA Freediving Challenge 2011","Switzerland"
1969,"Rodolfo ROBATTI ",43,50,35,8,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Switzerland"
1970,"Elisabeth MATTES ",43,51,34,9,2013-05-20,"Caribbean Cup 2013","Austria"
1971,"Elisabeth MATTES ",43,51,34,9,2013-05-20,"Caribbean Cup 2013","Austria"
1972,"Drutten NYGREN ",43,50,36,7,2012-02-09,"Andaman 2012 Freediving Competition","Sweden"
1973,"Bartosz LUBECKI ",43,46,39,4,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Poland"
1974,"Simon BENNETT ",43,51,34,9,2011-04-17,"Vertical Blue 2011","Chile"
1975,"Dena PARSA ",43,43,43,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Denmark"
1976,"Miha KARNER ",43,43,43,0,2013-07-27,"SUUNTO Cool Down 2013","Germany"
1977,"aristo VOUNAKIS ",43,43,43,0,2012-10-20,"TRIPLE DEPTH 2012","Greece"
1978,"Mitsuhiro KOJIMA ",43,43,43,0,2014-05-25,"Caribbean Cup 2014","Japan"
1979,"Jana BALOUNOVA ",43,46,39,4,2013-07-27,"SUUNTO Cool Down 2013","Czech Republic"
1980,"Erki ENKVIST ",43,43,43,0,2013-08-01,"Swedish Championship in depth","Estonia"
1981,"Mihalis FILINIS ",43,43,43,0,2015-08-16,"Cartoon Freedivers minicomp","Greece"
1982,"Stephen KEENAN ",43,60,25,18,2013-04-22,"Blue Hole Festival Competition","Ireland"
1983,"Jean-Philippe LAGOUTIERE ",43,43,43,0,2015-06-20,"Nice Abyss Contest 2015","France"
1984,"Timo DERSCH ",43,43,43,0,2014-07-05,"NAUTICA Cool Down 2014","Germany"
1985,"Vincent BRUNO ",43,43,43,0,2013-10-30,"One Breath Jamboree","Belgium"
1986,"shaun POPE ",43,43,43,0,2013-10-21,"Triple Depth","United Kingdom"
1987,"Jorge PALACIO ",43,55,30,13,2014-05-25,"Caribbean Cup 2014","Colombia"
1988,"liang CHEN ",43,43,43,0,2014-08-01,"Little Blue Hole Competition","China"
1989,"John FOLKVORD ",43,43,43,0,2015-04-18,"Freedive Panglao Staff Competition","Norway"
1990,"Sura DAI  ",43,43,43,0,2015-05-23,"S.E.A. Freediving Challenge","China"
1991,"marwan HARIRI ",43,43,43,0,2012-10-20,"TRIPLE DEPTH 2012","International"
1992,"Alejandro  Lemus ",43,43,43,0,2005-10-14,"Entre Dos Mares 2005","Mexico"
1993,"Mikhael DOMINICO ",42,42,42,0,2016-11-13,"Australian Depth National Freediving Championship 2016","Indonesia"
1994,"Jeongseon KIM ",42,42,42,0,2016-04-30,"Freedive Panglao Depth Challenge","Korea, Republic of"
1995,"Gal Shtokhamer ",42,42,42,0,2016-10-02,"Infinity Depth Games II","Israel"
1996,"Passante Adel ",42,42,42,0,2015-08-27,"RedCcup","Egypt"
1997,"Bill STRÖMBERG ",42,0,42,0,2002-06-28,"Swedish Freediving Championship 2002","Sweden"
1998,"Magnus ANDERSSON ",42,0,42,0,2002-06-28,"Swedish Freediving Championship 2002","Sweden"
1999,"Yann MATTHEY ",42,0,42,0,2002-08-31,"Swiss Summer Championship 2002","Switzerland"
2000,"Lotta ERICSON ",42,0,42,0,2002-06-28,"Swedish Freediving Championship 2002","Sweden"
2001,"Marcus GREATWOOD ",42,42,42,0,2008-04-18,"Bizzy blue hole 2008","United Kingdom"
2002,"Stefan BAIER ",42,47,36,6,2005-11-05,"Triple Depth - Freedive Dahab","Germany"
2003,"Kousuke OKAMOTO ",42,42,42,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
2004,"Kousuke OKAMOTO ",42,42,42,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
2005,"Kousuke OKAMOTO ",42,42,42,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
2006,"Iru BALIC ",42,42,42,0,2012-05-04,"Deja Blue 3","Venezuela"
2007,"Panagiota BALANOU ",42,42,42,0,2006-07-09,"AIDA Hellas Depth Event","Greece"
2008,"Ingela KARLSSON ",42,42,42,0,2010-04-29,"Bizzy Blue Hole 2010","Finland"
2009,"Sofus KREUTZMANN ",42,42,42,0,2007-09-02,"FSE Stockholm Beginners Event","Denmark"
2010,"Aristides IOANNIDIS ",42,45,42,0,2008-06-29,"AIDA HELLAS SUMMER APNEA GAMES 2008 PART I","Greece"
2011,"Aristides IOANNIDIS ",42,53,30,12,2008-07-25,"Mediterranean Freediving Meeting","Greece"
2012,"Jürg SUTER ",42,42,42,0,2008-08-16,"Summer Swiss Championship 2008","Switzerland"
2013,"Chris MARSHALL ",42,53,30,12,2014-03-21,"Dive Wellington/Beuchat New Zealand Freediving National Depth Championships","New Zealand"
2014,"Wesley LAPP ",42,42,42,0,2013-10-05,"Deja Blue IV","United States"
2015,"Giorgos SAKKAS ",42,42,42,0,2007-10-07,"Summer Apnea Games 2007 - In Memory of Dimitris Vassilakis","Greece"
2016,"David SIMS ",42,42,42,0,2009-05-27,"PFI Cayman 2009","United States"
2017,"Giannis GONIOTAKIS ",42,42,42,0,2007-10-07,"Summer Apnea Games 2007 - In Memory of Dimitris Vassilakis","Greece"
2018,"Cristina KÜMMEL ",42,42,42,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Denmark"
2019,"Felipe BEDOYA ",42,45,38,4,2010-06-14,"3rd Mediterranean Freediving Meeting","Colombia"
2020,"Lena JOVANOVIC ",42,42,42,0,2010-06-29,"AIDA Mexico Xibalba 2010","Serbia"
2021,"Yuko NOLTE ",42,42,42,0,2010-10-07,"FDD Mini Competition","Japan"
2022,"Aaron KUNERT ",42,42,42,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Germany"
2023,"Jennifer BALFOUR ",42,42,42,0,2010-05-11,"PFI Deja Blue 2010","Canada"
2024,"Marc LENOIR ",42,56,27,15,2014-08-01,"Little Blue Hole Competition","France"
2025,"Christian LANGER ",42,42,42,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Switzerland"
2026,"Mitsuhiro KOJIMA ",42,46,37,5,2014-05-25,"Caribbean Cup 2014","Japan"
