"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
2767,"Eva JOHNSEN ",28,32,23,5,2006-08-19,"Nordic Deep 2006","Denmark"
2768,"Eva JOHNSEN ",28,28,28,0,2007-08-14,"Nordic Deep with Six Competitions in One","Denmark"
2769,"Sayo MIURA ",28,28,28,0,2007-08-04,"Deep Water Cup Okinawa 2007","Japan"
2770,"Sawako MARUYAMA ",28,28,28,0,2013-10-19,"14th Manazuru Freediving Classic","Japan"
2771,"Hiroshi SUGAWA ",28,28,28,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Japan"
2772,"Gary MCGRATH ",28,28,28,0,2008-07-12,"Salt Free Double Dip 2008","United Kingdom"
2773,"Jennifer JELK ",28,28,28,0,2011-07-10,"Swiss Championship lake","Switzerland"
2774,"Toru TAKENOUCHI ",28,40,16,12,2012-07-13,"Deep Water Cup 2012 OKINAWA","Japan"
2775,"Ariane ROBERTO OLIVEIRA ",28,28,28,0,2007-09-15,"1st Blue Lake Invitational 2007","Brazil"
2776,"Kazuhiro HAYASHI ",28,28,28,0,2007-11-24,"Big Blue 2nd Official Competition","Japan"
2777,"Dimitris VAMVOUKAS ",28,28,28,0,2010-09-05,"Sougia depth competition","Greece"
2778,"Katja ANDRES ",28,28,28,0,2013-10-30,"One Breath Jamboree","Germany"
2779,"Dorota POLACZEK ",28,0,28,0,2010-08-01,"VII Polish Freediving Championship 2010","Poland"
2780,"Pascal BERGER ",28,84,-29,57,2014-11-18,"Freediving World Competition","Switzerland"
2781,"Takashi MEKATA ",28,28,28,0,2015-09-20,"Apnea Academy Asia Cup 2015 in Shimoda","Japan"
2782,"Yoshiaki SUZUKI ",28,28,28,0,2013-10-19,"14th Manazuru Freediving Classic","Japan"
2783,"Kagumi KIMURA ",28,37,19,9,2015-09-20,"Apnea Academy Asia Cup 2015 in Shimoda","Japan"
2784,"Arkadiy ZINCHUK ",28,28,28,0,2013-02-09,"Andaman Freediving Competition","Russian Federation"
2785,"Mik STANGERUP ",28,28,28,0,2014-06-12,"Copenhagen Lake Competition","Denmark"
2786,"Scott AMOS ",28,50,5,23,2015-05-11,"Deja Blue VI","International"
2787,"MAURO LLANOS ",28,28,28,0,2015-11-19,"COPA AIDA DELPHINUS","Colombia"
2788,"KATHERINE MARROQUIN ",28,28,28,0,2015-11-19,"COPA AIDA DELPHINUS","Colombia"
2789,"Yuji OHTANI ",27,45,8,0,2016-04-30,"Freedive Panglao Depth Challenge","Japan"
2790,"Kyriakos  Panayi ",27,27,27,0,2016-10-23,"AIDA CYPRUS depth games 2016.","Cyprus"
2791,"Roman A. BRÜNING ",27,27,27,0,2006-08-19,"Nordic Deep 2006","Germany"
2792,"Natalie DODUC ",27,27,27,0,2010-08-21,"Swiss Depth Championship 2010","Canada"
2793,"Doris Hovermann ",27,42,11,16,2015-08-15,"Swiss Championship 2015 Lake of Zurich","Germany"
2794,"Stefan RANDIG ",27,84,-30,57,2014-07-20,"Freedive Panglao staff comp","Germany"
2795,"Nils MANNE ",27,34,19,8,2013-08-01,"Swedish Championship in depth","Sweden"
2796,"Thomas JURKSCHAT ",27,38,15,12,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Germany"
2797,"Helen Evi  HOLROYD ",27,27,27,0,2014-10-05,"DEPTH GAMES 2014","Cyprus"
2798,"Vladimir VALKOVSKIY ",27,27,27,0,2013-07-26,"DEEP UKRAINE 2013","Ukraine"
2799,"mihailov ALEXEY ",27,27,27,0,2014-07-29,"depth mini comps","Russian Federation"
2800,"Meidy HERYOGA ",27,41,12,15,2013-10-30,"One Breath Jamboree","Indonesia"
2801,"Apple TABERDO ",27,27,27,0,2015-08-28,"Freedive Panglao August Minicomp","Philippines"
2802,"ANASTASIA SCHERBAKOVA ",27,27,27,0,2015-11-19,"COPA AIDA DELPHINUS","Russian Federation"
2803,"Minami Ishizawa ",27,27,27,0,2016-05-25,"Freedive Panglao May Minicompetition","Japan"
2804,"Roberto  SCIFFO  ",26,26,26,0,2014-10-05,"DEPTH GAMES 2014","Cyprus"
2805,"Greg FEE ",26,39,12,14,2012-05-04,"Deja Blue 3","Canada"
2806,"Liv PHILIP ",26,50,1,0,2009-07-19,"Salt Free Double Dip 2009","United Kingdom"
2807,"Georgina MILLER ",26,26,26,0,2007-10-21,"Triple Depth","United Kingdom"
2808,"Georgina MILLER ",26,26,26,0,2014-06-15,"7th AIDA Mediterranean World Cup","United Kingdom"
2809,"Jennifer JELK ",26,26,26,0,2010-08-21,"Swiss Depth Championship 2010","Switzerland"
2810,"Barbara HÜGLI ",26,26,26,0,2010-08-21,"Swiss Depth Championship 2010","Switzerland"
2811,"DeeDee FLORES ",26,40,11,15,2009-05-27,"PFI Cayman 2009","United States"
2812,"Takahiro MISE ",26,26,26,0,2009-10-11,"Big Blue 5th official","Japan"
2813,"Christos POLITIS ",26,41,10,16,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Greece"
2814,"Gonzalo BUXADE ",26,25,25,0,2010-05-15,"Spring Cortez Cup 2010","Mexico"
2815,"John PRESCOTT ",26,26,26,0,2010-09-26,"Triple Depth 2010","United Kingdom"
2816,"Marc LENOIR ",26,52,26,0,2009-07-19,"Salt Free Double Dip 2009","France"
2817,"Mitsuhiro KOJIMA ",26,26,26,0,2012-07-13,"Deep Water Cup 2012 OKINAWA","Japan"
2818,"Kohei ISHIDA ",26,26,26,0,2012-07-13,"Deep Water Cup 2012 OKINAWA","Japan"
2819,"Ioannis SKOULLOS ",26,26,26,0,2012-10-14,"AIDA CYPRUS Depth Games 2012","Cyprus"
2820,"Julian MILLER ",26,30,22,4,2013-08-02,"Freedive Paradise in 3D","United States"
2821,"Julian MILLER ",26,35,17,9,2013-08-02,"Freedive Paradise in 3D","United States"
2822,"LAURA DE ARMAS ",26,26,26,0,2015-11-19,"COPA AIDA DELPHINUS","Colombia"
2823,"Minami Ishizawa ",25,25,25,0,2016-05-25,"Freedive Panglao May Minicompetition","Japan"
2824,"Marek PIROH ",25,25,25,0,2016-04-30,"FREEDIVING ATLANTIC CUP","Slovakia"
2825,"Dominique VENTZKE ",25,25,25,0,2012-06-16,"AA Depth Minicomp 2012","Germany"
2826,"Daniel WIESER ",25,25,25,0,2004-04-18,"1st Lake Trophy Immersion Profonde","Switzerland"
2827,"Jorg JANSEN ",25,26,24,1,2003-06-29,"Round 5 of the Belgium Cup 2003","Netherlands"
