Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
11049,Yasushi OKAWA ,3:47,180,45,0,29/03/2009,Big Blue 2nd Official Pool Competition,Japan
11050,Erik SKODA ,3:47,210,45,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Netherlands
11051,TorbjÃ¶rn NYMAN ,3:47,1,45,0,9/05/2014,Copenhagen minicomp,Sweden
11052,Fidel LADRON ,3:47,150,45,0,20/06/2008,AIDA Mexico Xibalba 2008,Mexico
11053,Herman SEPULVEDA ,3:47,180,45,0,27/09/2008,Primer Campeonato AIDA Argentina de Apnea,Chile
11054,Gabriela GREZLOVA ,3:47,150,45,0,29/11/2009,Na nadech,Czech Republic
11055,Lubomir ULC ,3:47,150,45,0,26/06/2009,MCR Czech AIDA Championship 2009,Czech Republic
11056,Christos POLITIS ,3:47,195,45,0,13/05/2012,AIDA Hellas Pool Championship 2012,Greece
11057,Aris DAMANAKIS ,3:47,10,45,0,22/11/2009,2nd Kretan Static & Dynamic Competition,Greece
11058,Sokolov DENIS ,3:47,180,45,0,18/03/2011,Freediving Moscow Cup 2011,Russian Federation
11059,Ignatieva VIKTORIA ,3:47,180,45,0,18/03/2011,Freediving Moscow Cup 2011,Ukraine
11060,Jennifer BALFOUR ,3:47,150,45,0,3/05/2009,CAFA / Vancouver Apneist Spring Fling WRC,Canada
11061,Anne HAVE RASMUSSEN ,3:47,1,45,0,15/02/2014,German Pool Championship 2014,Denmark
11062,Terunobu YOKONO ,3:47,146,45,0,19/02/2012,True North Static Challenge vol.1,Japan
11063,Mayumi SASAI ,3:47,120,45,0,19/05/2012,Freediving Indoor Cup 2012 in Tateyama -day of static-,Japan
11064,Sachiko TAKEMURA ,3:47,150,45,0,20/10/2013,True North Double Challange V,Japan
11065,Polina RAZBITSKAYA ,3:47,120,45,0,14/12/2013,II World Class Open 2013,Russian Federation
11066,Elizaveta POPOVA ,3:47,90,45,0,23/06/2012,Aqualibrium Static Evening,Russian Federation
11067,Nektarios VLAHAKIS ,3:47,120,45,0,21/04/2013,5th PanCretan Competition in Static & Dynamic Apnea,Greece
11068,Alex MAXIMIENKO ,3:47,60,45,0,11/05/2013,Basenowe Mistrzostwa Polski we Freedivingu 2013,Belarus
11069,Ben WIERNICK ,3:47,120,45,0,25/05/2013,Coupe d Apnee de Montreal 2013,Canada
11070,Lily CRESPY ,3:47,210,45,0,30/04/2015,RedCcup,France
11071,Elena BONDAREVA ,3:47,180,45,0,24/05/2014,Finnish Freediving Nationals in Pool Disciplines 2014,Russian Federation
11072,Aliaksei STUKHALSKY ,3:47,180,45,0,1/08/2015,Minsk Open Freediving Cup,Belarus
11073,Kim Seng TEOH ,3:47,150,45,0,9/02/2012,Andaman 2012 Freediving Competition,Malaysia
11074,Alejandro  Lemus ,3:47,195,45,0,19/03/2006,4th National Indoors at Mexico City,Mexico
11075,julian CLARKE ,3:46,60,45.2,0,27/11/2016,Bristol Blue Freediving Competition,United Kingdom
11076,Jessica Bouwmeester ,3:46,210,45.2,0,9/04/2016,South Florida Apnea Challenge,Switzerland
11077,Karsten SCHNEIDER ,3:46,0,45,0,7/09/2002,1st Carinthian Freediving Invitational 2002,Germany
11078,Ronnie NISSEN ,3:46,0,45,0,15/06/2002,Danish Freediving Association 1st ranking competition 2002,Denmark
11079,Joseph CALDERON ,3:46,0,45,0,23/03/2002,Copa UCV 2002,Venezuela
11080,Jesper Juul PEDERSEN ,3:46,0,45,0,2/03/2002,Hvidovre Freedivers Club - club championship 2002,Denmark
11081,Patrick SMEETS ,3:46,180,45,0,5/03/2005,5th Night of Apnea - Belgium Championship 2005,Belgium
11082,Claus Vestergaard NIELSEN ,3:46,0,45,0,2/03/2002,Hvidovre Freedivers Club - club championship 2002,Denmark
11083,David JACOBS ,3:46,0,45,0,26/10/2002,3rd Rhein Main Cup 2002,Belgium
11084,Tomoko YAMANOUCHI ,3:46,225,45,0,13/09/2003,1st Japan Freediving Championship 2003,Japan
11085,Ruth FLORES ,3:46,0,45,0,23/03/2002,Copa UCV 2002,Venezuela
11086,Sabine KÃœCKEMANNS ,3:46,180,45,0,6/05/2004,4Ã¨me Manche Coupe d AIDA France 2004,Germany
11087,Jean MOREAU ,3:46,180,45,0,12/04/2003,Open Swiss Winter Championship 2003,Switzerland
11088,Hector FEBLES ,3:46,0,45,0,31/10/2002,AIDA Pacific Cup 2002,Spain
11089,Michael HAVRDA ,3:46,180,45,0,22/06/2003,Czech National Freediving Championship 2003,Czech Republic
11090,Susan KLUYTMANS ,3:46,250,40,5,10/06/2006,Aarhus Triple Challenge II,Netherlands
11091,Denis PARKHONIN ,3:46,150,45,0,24/04/2004,Moscow Freediver Cup 2004,Russian Federation
11092,Boris PICARD ,3:46,195,45,0,14/03/2004,2Ã¨me Manche Coupe d AIDA France 2004,France
